,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0.046597514,0,0.022731888,0.047028987,0.05278238,0.061284459,0.056249189,0.050009873,0.042339971,0.048615181,0.055116786,0.03770941,0.024191611,0.029690696,0.025440899,0.036707221,0.036561678,0.066713935,0.027471622,0,0.054545926,0.038093438,0.021744339,0.020076957,0.056815664,0.033892634,0.043161007,0.048473871,0.063677816,0.026201395,0.02613133,0.032549796,0.043943215,0.068871866,0.068854459,0.038155178,0.071675039,0.065624506,0.036668444,0.04435384,0.05307268,0.045611446,0.041658964,0.044277187,0.034505151,0.090428115,0.062568912,0.038668991,0.03927954,0.036178778,0.050590454,0.047218422,0.041116128,0.044951927,0.030261064,0.04912383,0.026125629,0.048745092,0.034238427,0.055445508,0.047140686,0.074865764,0.041462054,0.029783141,0.110549931,0.035715062,0.049759536,0.04687478,0.046644983,0.054001297,0.030474881,0.064852252,0.067642524,0.046664461,0.050037748,0.057061768,0.033313058,0.043688307,0.031150212,0.067618041,0.045225776,0.023615159,0.070444407,0.055341308,0.028597796,0.056411002,0.044510282,0.054446181,0.067219521,0.032583613,0.042539702,0.078911315,0.053536474,0.057261491,0.068622533,0.041332025,0.084575475,0.050393873,0.041945994,0.049056585,0.045657701
0.031920456,0.034953341,0.021828928,0.028525498,0.042869439,0.032741166,0.029996733,0.021749798,0.034713001,0.021683435,0.038362409,0.027731609,0.018575265,0.025028735,0.031206698,0.029055387,0.044459974,0.016946486,0.019530517,0.058898166,0.048799442,0.024956368,0.030515711,0.021980687,0.030819525,0.033371122,0.036655504,0.020208869,0.029426781,0.040410443,0.025551436,0.038724667,0.036940824,0.06190056,0.036051361,0.02041067,0.040935264,0.032278437,0.035127453,0.042590003,0.022828528,0.033891766,0.020173779,0.022573526,0.032169294,0.029476535,0.015685648,0.040535442,0.023747236,0.070871107,0.048203627,0.030554085,0.018680641,0.031340631,0.029837389,0.020880473,0.04689407,0.028758992,0.030375449,0.033761212,0.037122061,0.024643005,0.032055414,0.030356469,0.028656383,0.018543133,0.055824422,0.017860118,0.023205932,0.028091361,0.049041481,0.031365641,0.018312213,0.013435371,0.023467033,0.027677595,0.020039238,0.028340568,0.031341343,0.031265324,0.035724176,0.056146439,0.041777512,0.017212243,0.040814484,0.023146254,0.034248061,0.027429945,0.04299677,0.03380947,0.031195437,0.032752576,0.028577743,0.032565548,0.021151314,0.035242707,0.031744035,0.025037479,0.023968349,0.036303242,0.071806587
0.022031072,0.020647824,0.023958795,0.019281465,0.03043408,0.030009231,0.028308093,0.018370407,0.016888604,0.015017186,0.02089275,0.031511935,0.017217034,0.019479615,0.015398714,0.012812246,0.020550254,0.025774319,0.0176932,0.019368055,0.026202013,0.018709737,0.018867454,0.018226349,0.028375508,0.030211768,0.038317609,0.023651838,0.029267024,0.018584003,0.029426558,0.031407005,0.021301447,0.017852376,0.032740362,0.029621387,0.017088812,0.016804398,0.022383159,0.019008659,0.020167082,0.013550548,0.022548651,0.016943857,0.030051558,0.013014963,0.022409922,0.019390669,0.014980887,0.016921454,0.028719209,0.020887354,0.019248463,0.036485806,0.01850349,0.015868669,0.015150352,0.029717784,0.011976513,0.030602123,0.027084314,0.025871271,0.023233726,0.031308898,0.02738144,0.024041259,0.034485721,0.017352908,0.026049602,0.016483052,0.025075835,0.013990034,0.026105068,0.016618178,0.018313952,0.021472341,0.022489541,0.028565565,0.020498924,0.024281898,0.01255432,0.020868094,0.021082147,0.01935799,0.033038536,0.023316019,0.016395886,0.027781726,0.020442198,0.012957624,0.01821625,0.015224069,0.015886113,0.024568517,0.027019813,0.019659103,0.013282824,0.02126158,0.018970691,0.025654193,0.016065396
0.016989486,0.014663357,0.013817494,0.011611057,0.018390358,0.026599776,0.018959974,0.011019487,0.012047211,0.01327808,0.012727389,0.011684192,0.017723226,0.01735596,0.014451897,0.015386085,0.017052834,0.023148008,0.029129204,0.013146159,0.024791049,0.017185534,0.017473671,0.016549002,0.027483185,0.012677811,0.013859804,0.014006438,0.011094114,0.022125404,0.020562795,0.019747053,0.015727286,0.006062572,0.012199695,0.015026143,0.00889854,0.015384394,0.017008031,0.024743628,0.019221271,0.014283239,0.011862177,0.022403913,0.01914847,0.013136542,0.005346364,0.011934104,0.01555921,0.017728643,0.014423866,0.019078452,0.023340521,0.025643397,0.019600317,0.023074951,0.012053129,0.019338875,0.013464648,0.015506593,0.015175439,0.017670144,0.013949428,0.01187678,0.015551107,0.011253347,0.011184627,0.027224556,0.012048223,0.013171394,0.017952935,0.016786709,0.019772971,0.012942039,0.010499224,0.018396441,0.018179826,0.013289072,0.006229296,0.014775894,0.022860465,0.025512307,0.013521187,0.018537377,0.023476552,0.020825127,0.022179057,0.032565696,0.017283308,0.023675564,0.013968398,0.020978723,0.028282373,0.013246371,0.022735042,0.015673476,0.030120555,0.01662315,0.014567826,0.0123002,0.011139813
0.011673497,0.012807758,0.012764835,0.01037435,0.009465401,0.010467427,0.010028299,0.007256957,0.006565583,0.010081061,0.007673604,0.009291209,0.010048441,0.008149249,0.012569231,0.008639739,0.019385607,0.018561273,0.021632373,0.029484268,0.011473396,0.013465785,0.011558555,0.014130354,0.017102355,0.012514137,0.008340146,0.007266034,0.011846394,0.014526359,0.011584713,0.0095653,0.012067725,0.017884188,0.015132481,0.005857322,0.018401907,0.010711697,0.005871214,0.009458817,0.009910261,0.011015894,0.00936487,0.011262157,0.010426172,0.007624223,0.015206188,0.00718162,0.022837399,0.007901953,0.0176503,0.010641804,0.015475042,0.006433754,0.004956241,0.011267875,0.006127728,0.009283456,0.01361346,0.014611526,0.010841143,0.014422796,0.011684052,0.020639099,0.016142877,0.008703298,0.011176507,0.006437898,0.009128026,0.010518743,0.007613337,0.009067756,0.011939607,0.012251516,0.015156595,0.006723515,0.011018851,0.012873476,0.015975705,0.015307402,0.00964883,0.006506583,0.007896979,0.009240946,0.007056997,0.014735794,0.011515259,0.00682039,0.011648442,0.014833152,0.008742565,0.015700276,0.014493891,0.008433831,0.01199457,0.010040396,0.005911864,0.011269263,0.015057609,0.021178925,0.010203483
0.00840762,0.008380737,0.016536305,0.006062639,0.00345357,0.009130829,0.008634681,0.004540925,0.015112708,0.011404796,0.007063332,0.005364122,0.006971234,0.008477092,0.016547069,0.009912571,0.003313279,0.002481817,0.01644135,0.006622841,0.006262106,0.008840278,0.005827236,0.008676555,0.003657828,0.008918421,0.00972179,0.006483919,0.006471536,0.004237741,0.008963778,0.006970214,0.00565565,0.00524973,0.010353579,0.003432957,0.009093025,0.012649766,0.009704453,0.006097223,0.005293333,0.007914354,0.010801293,0.004086653,0.006490335,0.00544997,0.003889347,0.012687971,0.007336348,0.006923877,0.004837121,0.013531269,0.007772851,0.009240296,0.011277978,0.012079968,0.008387942,0.005987361,0.007267934,0.00822972,0.013784217,0.011224767,0.011546367,0.014369491,0.005048704,0.003082164,0.010434616,0.002891098,0.008488719,0.007487597,0.014163897,0.016690855,0.019223761,0.008087991,0.00939141,0.011922258,0.003878806,0.013448591,0.004364189,0.010976728,0.00598878,0.005405986,0.009335382,0.012205478,0.007378107,0.004223264,0.005513487,0.009154233,0.00806237,0.008209326,0.008533262,0.008712429,0.009917551,0.005980858,0.008150466,0.003302853,0.008382497,0.005092132,0.011314374,0.008330443,0.013856874
0.006649152,0.010244402,0.003914364,0.008538144,0.00394683,0.003906472,0.002587357,0.010318701,0.003879559,0.008096535,0.005745525,0.006401153,0.005707768,0.005947479,0.005502338,0.011992566,0.006661653,0.00862449,0.010412115,0.006005535,0.002480092,0.007515169,-0.001638259,0.006114159,0.007391784,0.010153297,0.006990728,0.007514026,0.007343044,0.001619555,0.006784008,0.00199697,0.00649824,0.004560896,0.00790329,0.007039555,0.006822565,0.011196968,0.003418925,0.01023862,0.006836581,0.007824395,0.007408132,0.011126335,0.00575276,0.010099695,0.004398189,0.003174243,0.005760275,0.002810828,0.007640077,0.005439305,0.009975763,0.003234109,0.005121915,0.005426889,0.002763525,0.008847063,0.009077896,0.005660739,0.004822286,0.004890785,0.004566347,0.006994499,0.008296002,0.002710583,0.007515204,0.004668426,0.010613209,0.007987292,0.004882339,0.008132032,0.007599524,0.004036583,0.008412791,0.010165284,0.011961294,0.009136219,0.009024151,0.003830655,0.002728635,0.015788332,0.008233466,0.005050907,0.005044717,0.003818712,0.001478241,0.007448923,0.008473102,0.00822279,0.006554724,0.012870926,0.011027494,0.000955846,0.007290499,0.006554221,0.005291711,0.007867501,0.007081508,0.006083412,0.0080487
0.004099589,0.003624152,0.005977328,0.002649571,0.00374626,0.002839674,0.003173121,0.00441892,0.006823304,0.005043932,0.004639565,0.000986005,0.003629875,0.00592567,0.002114246,0.001822968,0.004586283,0.005605489,0.007301547,0.004376135,0.001205138,0.003299327,0.007184467,0.001900628,0.00535413,0.004540533,0.001890243,0.00573997,0.005337225,0.002848321,0.00451646,0.002505415,0.007664714,0.002442025,0.011147231,0.007072155,0.007420807,0.001017812,0.005007944,0.007943257,0.00726948,0.00307043,0.001274237,0.00582396,0.001956949,0.003335647,0.000424403,0.003058613,0.002329862,0.002625934,-3.17E-05,0.006692384,0.004859077,0.002740795,0.002560565,0.004315915,0.002637795,0.004010269,0.009340102,-0.000482977,0.00232372,0.005143648,0.002185356,0.00951739,0.004258097,0.004642368,0,0.003749285,0.005523714,0.001863362,0.001705742,0.005433994,0.004547893,0.008005844,0.003114723,0.005673755,0.003579906,0.004222711,-0.001170186,0.004438909,0.004613312,0.009589487,0.006171962,0.005174613,0.003961425,0.002600812,0.005314018,0.001587021,0.005021797,-0.000510731,0.007527695,0.006274802,0.003871257,0.000821083,0.001552177,0.001324635,0.005368813,0.005053101,0.004591514,0.004612293,0.00354396
0.000711509,0,0,0,0,0,0,0,0.004042592,0.006230713,0.002895155,0,0.00424242,0.00103358,0,0,0,0,0,0,0,0,0,0,0,-0.000730301,0.002149575,0,0,0,0.004060366,0,0,0,0,0.003385721,0,0,0,0,0.004931243,0,0,0,0,0,-0.000242763,0,0.00507763,0,0,0,0,0.001932547,0,0.003733064,0,0.00055157,0,0,0.001854776,0.004207138,0,0,0,0,0,0,0,0,0.004308029,0,0,0,0,0,0,0.000885939,0,0,0,0.003595722,0,0,0,0.003015446,0.000487551,0,0,0,0,0,0,0.000990481,0,0,0,0,0,0.003559083,0.00495361
0.014861491,0,0.00908963,0.018302835,0.009341923,0.02201916,0.020476163,0.01415464,0.009873677,0.012746492,0.014534049,0.013139051,0.00492127,0.013364709,0.002176213,0.012075677,0.014018431,0.019916253,0.010193807,0,0.020889935,0.011093149,0.006761734,0.009467821,0.020187187,0.015601422,0.013597176,0.021267206,0.019533474,0.014664737,0.006964833,0.009710499,0.009834836,0.019570932,0.020443924,0.010077827,0.015077953,0.022108504,0.010281452,0.028353902,0.017265569,0.016967936,0.019087056,0.011900933,0.012287307,0.015676985,0.020872575,0.017411412,0.009069734,0.013190219,0.012036992,0.01685357,0.006107656,0.007566049,0.006988312,0.02227974,0.005798067,0.020907817,0.012823712,0.026559338,0.015276216,0.019909936,0.011423251,0.010866544,0.031259996,0.011245033,0.018428295,0.014885508,0.018147914,0.016344668,0.007438346,0.028647633,0.020312422,0.014985169,0.024699464,0.021550017,0.006377903,0.010346747,0.014419999,0.015350287,0.01532504,0.006090541,0.018006778,0.011871419,0.007509648,0.014684447,0.010574238,0.013379479,0.029561926,0.004752714,0.014687424,0.015962369,0.017847387,0.024251684,0.028011183,0.014920251,0.025005433,0.019207246,0.013974602,0.016480527,0.014645975
