"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"99981_at",6,6,2,2,1,14
"102082_at",12,9,11,11,4,4
"94853_at",4,4,9,9,4,9
"96911_at",11,7,13,9,1,6
"99477_at",3,3,7,7,5,7
"94042_f_at",9,9,14,14,12,4
"161873_r_at",7,6,8,8,6,1
"102060_at",8,13,7,7,6,2
"93256_at",11,6,3,3,5,14
"104004_at",11,6,8,8,5,1
"94876_f_at",11,11,13,13,5,5
"94071_at",3,13,7,7,2,2
"102886_at",5,5,9,9,13,13
"94132_at",1,1,3,3,10,12
"94897_at",14,10,6,6,3,3
"93690_at",4,4,1,1,9,9
"99160_s_at",7,7,7,7,6,6
"93066_at",3,3,7,7,13,7
"104057_at",3,13,1,1,2,2
"93750_at",5,3,8,8,13,7
"93727_at",13,13,10,3,2,2
"97819_at",5,2,1,1,13,9
"99583_at",2,3,10,10,9,1
"96116_at",7,3,4,8,6,1
"100380_at",1,12,14,14,10,12
"100708_at",14,1,14,14,10,12
"92730_at",3,13,1,1,2,2
"92629_f_at",2,12,14,14,12,8
"96359_at",13,2,13,13,9,8
"162488_at",7,11,7,7,6,5
"98628_f_at",6,6,10,10,1,14
"99581_at",2,2,14,14,12,8
"103262_at",3,13,13,9,2,2
"99335_at",3,13,5,5,2,2
"100049_at",8,2,8,8,10,8
"99058_at",5,3,9,9,7,7
"93095_at",13,13,10,3,2,2
"96699_at",9,9,12,12,12,4
"160101_at",13,13,13,13,2,2
"93117_at",1,12,12,12,10,12
"94896_at",13,2,13,6,2,8
"160199_at",3,2,7,7,12,8
"94041_at",13,2,10,3,12,8
"95232_at",4,2,14,14,9,7
"93761_at",13,2,13,13,12,8
"104296_at",3,13,7,7,2,2
"103835_f_at",13,8,3,6,1,11
"94276_at",13,8,3,6,1,11
"161869_i_at",14,10,8,8,3,3
"95359_at",10,10,5,5,3,3
"160499_at",4,12,12,12,4,12
"100352_at",3,8,1,1,1,11
"101955_at",4,4,14,14,12,9
"93277_at",1,12,12,12,10,12
"92829_at",14,14,12,12,10,10
"101399_at",13,7,13,6,13,13
"93752_at",2,13,10,10,2,2
"92614_at",3,3,1,1,6,7
"93018_at",2,2,10,10,12,8
"160253_at",2,13,14,14,9,7
"100483_at",3,13,1,1,2,2
"160694_at",3,6,7,7,5,14
"102224_at",11,7,9,9,5,6
"98622_at",8,13,8,8,2,2
"95117_at",5,5,7,7,13,13
"160527_at",5,5,2,2,13,13
"95885_at",8,6,2,2,2,14
"101499_at",6,6,9,1,14,14
"92817_at",13,13,3,3,11,2
"101501_r_at",3,6,7,7,1,14
"100277_at",11,6,6,6,5,14
"100561_at",4,4,13,13,13,9
"94975_at",3,13,9,9,1,2
"104385_i_at",7,7,7,7,6,13
"100123_f_at",12,1,6,3,4,12
"100601_at",7,6,9,9,6,1
"101123_at",12,12,9,9,4,8
"96283_at",7,5,13,9,6,13
"98911_at",11,6,7,7,5,14
"102364_at",6,11,10,10,2,5
"96324_at",8,13,11,11,2,2
"101922_at",4,5,9,9,9,13
"101508_at",3,13,7,7,2,2
"92890_at",11,11,2,2,5,5
"160871_at",8,8,11,11,14,11
"160679_at",11,11,11,11,5,5
"160417_at",3,2,1,1,12,8
"93565_at",11,6,1,1,5,14
"93111_at",13,2,3,3,13,8
"102404_at",8,13,8,8,14,2
"160089_at",4,4,14,14,13,9
"100136_at",7,7,11,11,13,6
"96876_at",12,1,10,10,4,12
"94260_at",13,3,13,13,5,7
"93930_at",3,3,9,9,5,7
"160261_i_at",6,8,2,8,2,11
"160498_at",13,8,3,6,2,11
"96072_at",9,12,12,12,12,12
"93600_at",6,11,7,7,14,5
"99669_at",12,1,6,13,4,12
"94561_at",3,2,1,1,4,8
"104634_at",3,13,1,1,2,2
"103370_at",2,13,10,10,2,2
"93753_at",3,13,7,7,2,2
"160270_at",7,7,3,3,6,1
"98059_s_at",5,5,1,1,13,13
"160095_at",5,2,11,11,13,7
"96736_at",5,4,1,1,13,9
"101073_at",11,7,9,9,5,6
"160676_at",12,1,9,9,4,12
"92563_at",3,6,7,7,2,14
"93078_at",3,13,9,1,2,7
"98402_at",4,5,9,9,9,13
"160450_at",13,8,13,13,5,11
"96703_at",11,11,13,13,5,6
"92650_at",6,6,8,8,14,14
"104628_at",8,3,11,11,5,1
"95749_at",11,7,3,3,5,6
"97447_at",7,7,1,1,6,6
"160287_at",13,2,3,3,12,8
"162082_r_at",6,8,4,4,1,11
"160854_at",3,8,1,1,2,11
"93848_at",8,13,8,8,14,2
"161583_at",8,13,2,2,2,2
"101834_at",6,6,1,1,6,14
"92350_at",4,4,11,11,9,9
"96865_at",5,4,11,11,13,9
"97203_at",7,3,10,10,6,1
"160362_at",3,3,13,9,5,7
"101385_at",13,8,3,6,14,11
"96354_at",11,7,2,2,5,6
"95754_at",6,8,10,10,14,11
"97451_at",11,6,9,9,5,14
"162025_r_at",7,3,4,4,6,1
"93991_at",2,3,14,14,9,7
"98110_at",7,3,6,6,9,13
"101082_at",8,8,2,2,5,11
"94890_at",6,8,8,8,2,11
"94502_at",3,13,9,1,14,2
"95044_at",3,8,9,9,1,11
"160172_at",13,2,13,6,2,8
"93505_at",9,2,8,8,12,8
"95140_at",6,6,9,9,14,14
"92880_at",7,7,3,3,6,6
"94548_at",13,8,3,3,6,1
"93866_s_at",13,13,13,6,2,2
"104410_at",7,3,9,9,6,1
"94848_at",14,14,8,8,10,10
"95726_at",4,4,3,6,9,9
"95663_at",5,4,2,8,4,9
"94007_at",4,4,12,12,9,9
"96632_at",1,12,12,12,10,12
"94899_at",13,3,13,13,6,1
"100759_at",6,11,1,1,2,14
"160457_at",2,2,14,14,12,8
"100040_at",13,13,3,6,6,2
"94875_at",3,13,9,9,14,2
"96916_at",11,11,7,7,5,5
"97443_at",9,4,3,6,12,8
"99630_at",8,8,7,7,14,11
"160308_at",5,4,9,1,4,9
"95689_at",3,3,9,9,13,7
